player,position,team,is_active,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,otc_id,gsis_id
Jaylin Noel,WR,Texans,True,2025,4.0,6.466856,1.616714,1.343168,0.006,6.976422,1.744106,1.449005,12439,00-0040138
Chris Brazzell II,WR,Panthers,True,2026,4.0,6.943812,1.735953,1.510044,0.006,6.943812,1.735953,1.510044,13227,00-0041047
Ted Hurst,WR,Buccaneers,True,2026,4.0,6.916056,1.729014,1.48986,0.006,6.916056,1.729014,1.48986,13228,00-0041048
Zavion Thomas,WR,Bears,True,2026,4.0,6.83151,1.707878,1.428372,0.006,6.83151,1.707878,1.428372,13233,00-0041051
Tank Dell,WR,Texans,True,2026,1.0,1.7,1.7,1.0,0.006,1.7,1.7,1.0,10893,00-0038977
Savion Williams,WR,Packers,True,2025,4.0,6.292454,1.573114,1.216328,0.006,6.788278,1.69707,1.31217,12447,00-0040009
Roman Wilson,WR,Steelers,True,2024,4.0,5.745168,1.436292,0.998304,0.006,6.775429,1.693857,1.177326,11692,00-0039739
Chris Bell,WR,Dolphins,True,2026,4.0,6.771094,1.692774,1.384432,0.006,6.771094,1.692774,1.384432,13238,00-0041525
Jalen McMillan,WR,Buccaneers,True,2024,4.0,5.663024,1.415756,0.938564,0.006,6.678555,1.669639,1.106873,11700,00-0039855
Tai Felton,WR,Vikings,True,2025,4.0,6.161184,1.540296,1.12086,0.006,6.646664,1.661666,1.20918,12462,00-0040154
Luke McCaffrey,WR,Commanders,True,2024,4.0,5.596312,1.399078,0.890044,0.005,6.599879,1.64997,1.049653,11708,00-0039355
Derius Davis,WR,Chargers,True,2023,4.0,4.551928,1.137982,0.711928,0.005,6.098936,1.524734,0.953882,10949,00-0038573
Calvin Austin III,WR,Giants,True,2026,1.0,1.5,1.5,0.45,0.005,1.5,1.5,0.45,10183,00-0037837
Laquon Treadwell,WR,Colts,True,2026,1.0,1.4875,1.4875,0.4375,0.005,1.4875,1.4875,0.4375,4736,00-0032951
Lil'Jordan Humphrey,WR,Broncos,True,2026,1.0,1.4875,1.4875,0.0875,0.005,1.4875,1.4875,0.0875,8357,00-0035406
Chimere Dike,WR,Titans,True,2025,4.0,5.400952,1.350238,1.100952,0.005,5.826528,1.456632,1.187703,12463,00-0040705
Troy Franklin,WR,Broncos,True,2024,4.0,4.889836,1.222459,0.854836,0.005,5.766713,1.441678,1.008131,11710,00-0039868
Devontez Walker,WR,Ravens,True,2024,4.0,4.817852,1.204463,0.797852,0.005,5.681821,1.420455,0.940928,11721,00-0039792
Dont'e Thornton Jr.,WR,Raiders,True,2025,4.0,5.2509,1.312725,1.0509,0.005,5.664653,1.416163,1.133707,12468,00-0040581
Arian Smith,WR,Jets,True,2025,4.0,5.241652,1.310413,1.041652,0.005,5.654676,1.413669,1.123731,12470,00-0040582
Brenen Thompson,WR,Chargers,True,2026,4.0,5.632136,1.408034,1.252136,0.005,5.632136,1.408034,1.252136,13249,00-0041550
Simi Fehoko,WR,Cardinals,True,2026,1.0,1.4025,1.4025,1.2625,0.005,1.4025,1.4025,1.2625,9643,00-0036646
Gunner Olszewski,WR,Giants,True,2026,1.0,1.4025,1.4025,0.3,0.005,1.4025,1.4025,0.3,8577,00-0035645
Jalen Tolbert,WR,Dolphins,True,2026,1.0,1.4025,1.4025,1.2625,0.005,1.4025,1.4025,1.2625,10133,00-0037666
Tutu Atwell,WR,Rams,True,2026,1.0,1.4025,1.4025,1.075,0.005,1.4025,1.4025,1.075,9521,00-0036849
Tylan Wallace,WR,Browns,True,2026,1.0,1.4025,1.4025,0.125,0.005,1.4025,1.4025,0.125,9595,00-0036630
Elijah Sarratt,WR,Ravens,True,2026,4.0,5.56362,1.390905,1.18362,0.005,5.56362,1.390905,1.18362,13259,00-0040876
Jaylin Lane,WR,Commanders,True,2025,4.0,5.11384,1.27846,0.91384,0.005,5.516793,1.379198,0.985847,12488,00-0040164
Kaden Wetjen,WR,Steelers,True,2026,4.0,5.506916,1.376729,1.126916,0.005,5.506916,1.376729,1.126916,13265,00-0041397
