season,season_type,week,game_id,game_date,home_team,away_team,team,opponent,off_plays,off_epa_total,off_epa_per_play,off_success_rate,yards_gained,pass_attempts,rush_attempts,turnovers,touchdowns,def_plays,def_epa_allowed_total,def_epa_allowed_per_play,def_success_allowed,yards_allowed,takeaways,penalties_committed,penalty_yards_committed,is_home,home_away,pass_rate,points_for,points_against,opp_season_off_epa_per_play,opp_season_def_epa_allowed_per_play,off_adj_epa,def_adj_epa,point_diff,turnover_margin,opp_penalty_yards_committed,penalty_yards_margin,success_margin,estat_game
2021,REG,17,2021_17_MIA_TEN,2022-01-02,TEN,MIA,MIA,TEN,62,-19.079289463323956,-0.30773047521490254,0.2903225806451613,256.0,43.0,16.0,2.0,0.0,65,7.166267461386584,0.11025026863671668,0.36923076923076925,308.0,0.0,5.0,55.0,0,Away,0.7288135593220338,3.0,34.0,0.02236925306193776,-0.03240348421857285,-0.2753269909963297,-0.08788101557477893,-31.0,-2.0,70.0,15.0,-0.07890818858560794,-0.28417402148700427
2021,REG,17,2021_17_MIN_GB,2022-01-02,GB,MIN,MIN,GB,54,-14.976434722936531,-0.2773413837580839,0.3148148148148148,206.0,41.0,11.0,0.0,1.0,74,17.04864466717431,0.23038709009695016,0.581081081081081,482.0,0.0,2.0,8.0,0,Away,0.7884615384615384,10.0,37.0,0.118328628313961,-0.009358901693922018,-0.2679824820641619,-0.11205846178298916,-27.0,0.0,5.0,-3.0,-0.2662662662662662,-0.18044300416548706
2021,REG,17,2021_17_JAX_NE,2022-01-02,NE,JAX,NE,JAX,73,28.674937288562294,0.39280736011729167,0.6438356164383562,472.0,34.0,36.0,0.0,7.0,48,-12.529603447032416,-0.2610334051465087,0.375,253.0,3.0,3.0,30.0,1,Home,0.4857142857142857,50.0,10.0,-0.10075581465282833,0.09540134676787972,0.29740601334941197,0.16027759049368034,40.0,3.0,25.0,-5.0,0.2688356164383562,0.41695700318107254
2021,REG,17,2021_17_CAR_NO,2022-01-02,NO,CAR,NO,CAR,55,-6.713476050661404,-0.12206320092111643,0.36363636363636365,283.0,28.0,26.0,0.0,1.0,62,-15.048568606015058,-0.24271884848411385,0.3709677419354839,178.0,2.0,4.0,29.0,1,Home,0.5185185185185185,18.0,10.0,-0.1412311293325142,-0.06118948315771797,-0.06087371776339846,0.10148771915159965,8.0,2.0,5.0,-24.0,-0.007331378299120228,0.14111246272536848
2021,REG,17,2021_17_NYG_CHI,2022-01-02,CHI,NYG,NYG,CHI,57,-34.55766484500598,-0.6062748218422102,0.3684210526315789,155.0,15.0,40.0,4.0,0.0,66,-8.95928022946765,-0.13574667014344924,0.3484848484848485,249.0,2.0,2.0,16.0,0,Away,0.2727272727272727,3.0,29.0,-0.08989324962964226,0.02902824277183599,-0.6353030646140462,0.045853420513806975,-26.0,-2.0,25.0,9.0,0.01993620414673042,-0.36838623722542263
2021,REG,17,2021_17_TB_NYJ,2022-01-02,NYJ,TB,NYJ,TB,62,7.98839000221013,0.12884500003564725,0.43548387096774194,374.0,34.0,26.0,1.0,3.0,74,17.477701393290722,0.23618515396338813,0.5135135135135135,469.0,1.0,2.0,14.0,1,Home,0.5666666666666667,24.0,28.0,0.11067784411637709,-0.06895580399188321,0.19780080402753047,-0.12550730984701103,-4.0,0.0,39.0,25.0,-0.07802964254577155,0.036114433417630626
2021,REG,17,2021_17_PHI_WAS,2022-01-02,WAS,PHI,PHI,WAS,62,7.820705747062727,0.12614041527520528,0.46774193548387094,331.0,27.0,33.0,0.0,2.0,64,-0.6894088183213056,-0.0107720127862704,0.515625,312.0,1.0,6.0,42.0,0,Away,0.45,20.0,16.0,-0.04790548942756122,0.06014037162367476,0.06600004365153052,-0.03713347664129082,4.0,1.0,4.0,-38.0,-0.04788306451612906,0.05395832035248298
2021,REG,17,2021_17_CLE_PIT,2022-01-03,PIT,CLE,PIT,CLE,81,-6.508555055415741,-0.08035253154834247,0.3333333333333333,300.0,48.0,30.0,1.0,2.0,75,-15.200902998447418,-0.20267870664596557,0.28,232.0,2.0,3.0,31.0,1,Home,0.6153846153846154,26.0,14.0,0.0034198421520739274,0.0015001213033274201,-0.0818526528516699,0.2060985487980395,12.0,1.0,77.0,46.0,0.05333333333333329,0.15263169171188118
2021,REG,17,2021_17_DET_SEA,2022-01-02,SEA,DET,SEA,DET,71,27.947195904231766,0.39362247752439106,0.5774647887323944,498.0,30.0,39.0,0.0,6.0,64,1.171794312825837,0.018309286137903703,0.4375,359.0,3.0,4.0,21.0,1,Home,0.43478260869565216,51.0,29.0,-0.07304866791432192,0.10813173135085821,0.28549074617353287,-0.09135795405222563,22.0,3.0,30.0,9.0,0.13996478873239437,0.3070495957217623
2021,REG,17,2021_17_HOU_SF,2022-01-02,SF,HOU,SF,HOU,64,2.6293636886557077,0.04108380763524543,0.421875,416.0,24.0,37.0,1.0,2.0,68,-12.923695351249613,-0.1900543434007296,0.4117647058823529,222.0,1.0,7.0,111.0,1,Home,0.39344262295081966,23.0,7.0,-0.1541504138492115,0.08026022479131072,-0.039176417156065284,0.03590392955151811,16.0,0.0,67.0,-44.0,0.010110294117647078,-0.02669796563005416
